Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,4,"C1, C2, C3, C4",22uF,device:Csmall,SMD_Packages:SMD-0603,
2,1,C10,0.22uF,device:Csmall,SMD_Packages:SMD-0603,
3,2,"C11, C13",10uF,device:Csmall,SMD_Packages:SMD-1206,
4,6,"C12, C15, C5, C6, C7, C8",0.1uF,device:Csmall,SMD_Packages:SMD-0603,
5,1,C14,4.7uF,device:Csmall,SMD_Packages:SMD-0603,
6,1,C9,1uF,device:Csmall,SMD_Packages:SMD-0603,
7,1,D1,DIODESCH,device:DIODESCH,SCREEN:SOD323,
8,1,D2,GREEN,device:LED,LEDs:LED-0603,
9,1,JP1,NHD,device:JUMPER,Connect:GS2,
10,1,JP2,BD,device:JUMPER,Connect:GS2,
11,1,JP3,HVT,device:JUMPER,Connect:GS2,
12,1,JP4,ST+,device:JUMPER,Connect:GS2,
13,1,JP5,ST-,device:JUMPER,Connect:GS2,
14,1,L1,22uH,device:INDUCTOR,SCREEN:VLCF5020,
15,1,P1,CONN_01X08,conn:CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08,
16,2,"Q1, Q2",N_MOS,screen:N_MOS,SMD_Packages:SOT-23,
17,3,"R1, R2, R3",4.7k,screen:Rsmall,SMD_Packages:SMD-0603,
18,4,"R10, R4, R8, R9",10k,screen:Rsmall,SMD_Packages:SMD-0603,
19,1,R11,1k,screen:Rsmall,SMD_Packages:SMD-0603,
20,1,R12,510R,screen:Rsmall,SMD_Packages:SMD-0603,
21,1,R5,3.32R,screen:Rsmall,SMD_Packages:SMD-0603,
22,1,R6,4.99R,screen:Rsmall,SMD_Packages:SMD-0603,
23,1,R7,10R,screen:Rsmall,SMD_Packages:SMD-0603,
24,1,U1,uHDMI,screen:uHDMI,SCREEN:uHDMI,
25,1,U2,TFP401A,screen:TFP401A,SCREEN:TFP401A,
26,1,U3,TPS76333,screen:TPS76333,SMD_Packages:SOT-23-5,
27,1,U4,TSP61161,screen:TSP61161,SCREEN:TSP61161,
28,1,U5,M93C46,usb_hub:M93C46,SCREEN:TSSOP8,
29,1,U6,HVT-4.3,screen:HVT-4.3,SCREEN:40_PIN,
30,1,U7,NHD-5.0,screen:NHD-5.0,SCREEN:40_PIN,
31,1,USB1,AB2_USB,ab2_usb:AB2_USB,MICRO_USB:AB2_USB_MICRO_SMD,
